tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00020212631-01,20212631,1,s0078,17-07-2024,0.297195,,3434.54,,2460434.54,,0.155461,,4.08481,,75.9726,,0.990105,,0.342538,,0.171269,,10300.1,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.3029365,0.6757239,-0.4732851,0.1082497,36,mandel-agol_geometric_transit_model,TRUE,21.43378,2375.448,2624.965,11.3908,55.28785,37.99805,524,867.4663,22.7198,,8.74E-03,,3094.29,,21665.4,,2,1,5665.4,131.069,4.1873,7.95E-02,-0.709,1.10E-02,1.33869,7.55E-02,0.4193918,8.03E-02,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,0.297226638,-1,3434.53981,-1,2460434.54,-1,0.621369141,-1,0.289446657,-1,39362.94109,-1,TRUE,47295,3822,3.511348,2978.541,0.330369,1.84659,6.50425,-12.42331,0.11283,0.128454,4.872258,10.2062,7.09E-02,6.56E-07,0,0.2423677,0.2540353,3356.76,876.4876,-2.98239,0.296598,3.49E-04,18.139,3.263863,2.101614,60,0,0,0.1144329,2.500018,-0.01844341,2.500028,0.1159097,2.500018,-4.52E-02,2.500014,-0.2529874,2.500022,0.2569858,2.500022
00020212631-02,20212631,2,s0078,17-07-2024,0.297121,,3434.46,,2460434.46,,0.152194,,1.35321,,63.6664,,0.600278,,2.14665,,0.487375,,24811.5,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.3029365,0.6757239,-0.4732851,0.1082497,37,mandel-agol_geometric_transit_model,TRUE,6.349302,846.6939,2177.41,10.60849,45.56902,27.50767,331,246.7871,22.2423,,8.74E-03,,3094.55,,21672.5,,2,1,5665.4,131.069,4.1873,7.95E-02,-0.709,1.10E-02,1.33869,7.55E-02,0.4193918,8.03E-02,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,0.297226627,-1,3434.530613,-1,2460434.531,-1,1.914336095,-1,0.45366483,-1,181680.3922,-1,TRUE,82230,2282,18.51041,32387.25,0.0505592,2.679924,13.70485,-11.47886,0.15241,0.134704,20.72463,16.68235,0.5781969,0,6.56E-07,2.748867,0.4588735,6160.64,218.556,3.811217,12.25021,9.25E-11,18.139,3.263863,2.101614,60,-25.04041,-12.37066,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
00020239565-01,20239565,1,s0078,17-07-2024,3.01076,,3434.93,,2460434.93,,0.257065,,5.83795,,80.2356,,0.990105,,3.10583,,1.55291,,28474.9,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5186263,0.1214755,0.1327858,-0.1224294,4,mandel-agol_geometric_transit_model,TRUE,224.4646,1695.296,1554.084,151.2545,1783.908,4414.667,239,9231.898,45.4332,,4.18E-02,,1622.29,,1636.94,,1,1,5909.33,108.991,4.05102,7.22E-02,0,0,1.61893,6.92E-02,0.2533914,0.04350847,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,3.011109591,-1,3434.933883,-1,2460434.934,-1,2.91580716,-1,1.124596965,-1,27573.96481,-1,TRUE,17568,1710,4.237186,474.7544,0.141351,0.6182371,2.26687,-3.588415,0.42775,0.212477,115.1109,163.8109,204.3725,0,0,0.2213406,7.01E-02,1720.418,130.9585,-11.10419,0.6904196,0,9.268614,-1.503679,1.515113,6,105.2419,28.47046,-6.31E-02,2.50013,0.1527663,2.500212,0.1652939,2.500201,-4.88E-02,2.500128,0.2487172,2.500211,0.2534601,2.500208
00020299889-01,20299889,1,s0078,17-07-2024,3.8,,3438.06,,2460438.06,,8.09E-02,,3.52919,,88.3763,,0.1,,9,,0.697488,,114735,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0,0,0,0,0,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,38.39745,1412.239,7979.652,718,39038.76,25.6254,,9.70E-02,,1184,,464.437,,1,1,4906,133,4.438,0,0,0,2.90151,0,1,0,TIC8.2,Solar,Solar,TIC8.2,Solar,3.799998045,-1,3438.049211,-1,2460438.049,-1,12.89118168,-1,3.521765635,-1,296097.7103,-1,TRUE,15411540,3719,1.220573,958.3804,-0.0941858,0.4744582,4.26985,-2.478399,2.6722,1.0847,322.0286,159.6201,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,39.95745,46.98213,-0.7429727,2.500004,1.296389,2.500005,1.494199,2.500005,-0.2627051,2.500002,0.3201084,2.500003,0.4141054,2.500003
00024077469-01,24077469,1,s0078,17-07-2024,2.65278,,3436.42,,2460436.42,,0.288737,,7.47734,,89.2337,,0.1,,3.5,,0.794209,,329439,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.562884,-5.10E-02,0.3758591,-0.2219403,0,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,921.5597,71627.16,116961.3,380,276131.1,52.619,,3.78E-02,,1681.23,,1888.1,,2,1,5736,120.924,4.00372,7.31E-02,0,0,1.66931,7.89E-02,0.2203853,3.85E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,2.65277648,-1,3436.405628,-1,2460436.406,-1,5.12743522,-1,2.146064965,-1,317715.8929,-1,TRUE,834265,3423,-3.02865,-2540.408,-0.0867715,0.6895251,21.34061,-22.74699,-0.36947,0.449977,696.0696,1048.353,0,0,2.11E-05,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,54.16773,114.3027,-0.1950222,2.500007,0.0118897,2.50001,0.1953843,2.500008,0.01309579,2.500005,-0.9435188,2.500007,0.9436097,2.500007
00024077469-02,24077469,2,s0078,17-07-2024,2.65892,,3436.68,,2460436.68,,0.127027,,1.09165,,59.2582,,0.558017,,31.907,,8.28098,,17625.6,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.562884,-5.10E-02,0.3758591,-0.2219403,5,mandel-agol_geometric_transit_model,TRUE,8.50417,5031.131,5643.381,11.66659,13.91662,23.6234,368,415.0597,23.1491,,3.79E-02,,1679.93,,1882.29,,2,1,5736,120.924,4.00372,7.31E-02,0,0,1.66931,7.89E-02,0.2203853,3.85E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,2.645832045,-1,3436.314851,-1,2460436.315,-1,14.57978836,-1,0.500120583,-1,913.6698031,-1,TRUE,6686,2499,3.587638,4228.571,0.0284509,0.4918056,7.01113,-6.34149,0.52359,0.738866,197.9684,63.02314,44.64987,2.11E-05,0,6.233246,2.167895,4104.028,347.1407,2.413976,6.879555,-1,-1,-1,-1,-1,4.867514,-3.537852,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
00024090190-01,24090190,1,s0078,17-07-2024,16.5616,,3434.88,,2460434.88,,3.17E-02,,16.5713,,89.9654,,1.00E-02,,7.88132,,0.242105,,1220.05,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6452922,-0.05574983,0.2797219,-0.1026429,2,mandel-agol_geometric_transit_model,TRUE,9.841847,1507.475,1751.255,12.56094,3.010757,1.66886,413,336.6003,110.207,,1.2795,,881.782,,142.878,,1,1,4002.46,54.76,4.438,0,-0.031,5.00E-02,31.8951,0,1,0,TIC8.2,Solar,TIC8.2,TIC8.2,Solar,16.55554771,-1,3434.828034,-1,2460434.828,-1,10.01208801,-1,1.773573073,-1,420.850898,-1,TRUE,9495,2508,0.345342,116.7023,0.383308,0.2470281,0.92023,-1.049099,0.83053,0.874977,12.53355,7.395,119.6618,0,0,8.653927,14.67202,2338.326,991.6257,0.5216684,1.468736,3.53E-35,3.620111,0.8839115,0.5284947,2,4.657336,3.305272,-4.412323,2.51137,-12.27207,2.515359,13.04118,2.514903,-4.267337,2.511313,-11.88147,2.515354,12.62456,2.514893
00039903405-01,39903405,1,s0078,17-07-2024,5.63285,,3437.84,,2460437.84,,0.0677812,,9.69772,,87.2799,,0.460231,,4.28729,,0.340863,,5069.26,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.454527,0.4439126,-0.3871551,0.1064442,3,mandel-agol_geometric_transit_model,TRUE,80.92801,1493.848,1644.725,67.5174,362.9077,0.51412,269,1256.011,12.6084,,6.75E-02,,1421.9,,966.048,,1,1,6412.83,106.401,4.08576,8.07E-02,5.35E-02,4.07E-02,1.70392,6.66E-02,0.2608019,4.95E-02,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,5.634719372,-1,3437.839795,-1,2460437.84,-1,4.312266917,-1,0.476318799,-1,4968.176948,-1,TRUE,12542,3081,0.7946948,71.32701,0.0749647,0.5947843,1.68011,-1.837641,-0.60002,1.6847,55.64012,78.42771,3.93508,0,0,1.124075,1.343067,2263.647,673.4053,9.24E-02,1.246441,0,7.631631,-0.8163363,1.405854,3,56.81373,3.850296,0.6957885,2.501775,3.85E-02,2.502737,0.6968521,2.501778,0.9647937,2.501773,0.7072382,2.502734,1.196249,2.502109
00039903672-01,39903672,1,s0078,17-07-2024,3.03129,,3435.58,,2460435.58,,0.217764,,8.08756,,83.1454,,0.965258,,2.14423,,1.07212,,23856.8,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.3819,0.5136,-0.3472,6.77E-02,5,mandel-agol_geometric_transit_model,TRUE,61.29124,1249.533,1381.872,54.25203,268.8508,0.54088,179,350.3236,30.7093,,4.21E-02,,1448.45,,1040.24,,1,1,5923.65,180.046,4.24873,9.87E-02,-0.344,0.184,1.29176,8.83E-02,0.5006661,0.1187839,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,3.031943083,-1,3435.576023,-1,2460435.576,-1,2.073330299,-1,0.813178317,-1,23674.71663,-1,TRUE,10933,1595,5.212011,2016.189,0.0192881,0.6540146,4.78542,-3.053866,1.50692,1.4222,31.25385,59.11754,0.153352,0,0,2.081344,1.927782,2689.859,619.1237,0.5609264,1.991598,0,8.94152,-0.6912933,1.356593,6,33.37995,5.919332,-1.12956,2.506324,0.2646619,2.508894,1.160151,2.506457,-0.6409021,2.506319,0.8066133,2.508891,1.030233,2.507896
00039949764-01,39949764,1,s0078,17-07-2024,0.537902,,3434.63,,2460434.63,,0.46476,,2.05311,,88.5092,,5.34E-02,,3.26298,,1.09218,,242428,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.4385536,0.4591392,-0.3936046,0.1055043,23,mandel-agol_geometric_transit_model,TRUE,16.80874,6395.372,7668.38,11.80043,32.70596,14.63746,1199,1071.176,58.1993,,0.0142071,,2568.47,,10285.3,,1,1,6478,216,4.43947,0,0,0,1.14706,0,0.874749,0,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.538172305,-1,3434.623143,-1,2460434.623,-1,2.994048853,-1,1.033784314,-1,267540.7365,-1,TRUE,8690,4085,0.8823857,7642.036,0.479094,1.127266,2.4622,-4.869294,0.22287,0.143033,4.859838,11.4834,7.37E-02,0,0,0.2505291,0.2571514,2809.498,727.0018,-2.914512,0.3292665,1.10E-11,12.13913,0.4604703,1.647168,33,13.19024,5.24323,48.10749,2.584287,-49.37399,2.545063,68.93564,2.564241,-0.01234916,2.529758,-0.221953,2.545026,0.2222963,2.544979
