tceid,ticid,tce_plnt_num,sectors,lastUpdate,tce_period,tce_period_err,tce_time0bt,tce_time0bt_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof2,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_ntoi,tce_sectors,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_sdensity,tce_sdensity_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tce_sdensity_prov,tcet_period,tcet_period_err,tcet_time0bt,tcet_time0bt_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_ws_mesmedian,tce_ws_mesmad,tce_ws_maxmes,tce_ws_minmes,tce_ws_maxmesd,tce_ws_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_bin_spc_stat,tce_bin_lpc_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,bootstrap_transit_count,tce_cap_stat,tce_hap_stat,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_ditco_mra,tce_ditco_mra_err,tce_ditco_mdec,tce_ditco_mdec_err,tce_ditco_msky,tce_ditco_msky_err
00199665772-01,199665772,1,s0078,17-07-2024,0.476681,,3434.5,,2460434.5,,0.15466,,3.23407,,83.0214,,0.392934,,1.25646,,0.199753,,27673,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6728837,-0.5010862,0.9879754,-0.442867,20,mandel-agol_geometric_transit_model,TRUE,12.21511,3352.634,3944.531,9.424409,27.39642,15.30682,598,428.323,14.2427,,1.14E-02,,1955.35,,3454.75,,1,1,5153,122,4.52536,0,0,0,0.843553,0,1.449598,0,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.477000773,-1,3434.498484,-1,2460434.498,-1,1.378408156,-1,0.424142109,-1,28351.64132,-1,TRUE,7341,3482,2.555922,6033.072,0.0243531,1.136322,2.79171,-3.310596,0.23331,0.270033,4.115288,8.1087,3.57E-03,0,0,2.128944,0.7505349,3651.786,333.2448,1.504186,5.042249,1.76E-12,8.304366,-0.7063855,1.265286,38,3.800597,7.905651,1.173949,2.513106,4.973666,2.549851,5.110333,2.547925,-5.561526,2.5131,16.38681,2.549849,17.30486,2.546078
00199665773-01,199665773,1,s0078,17-07-2024,0.476639,,3434.5,,2460434.5,,0.118653,,1.66038,,53.405,,0.989844,,1.46251,,0.731253,,6003.52,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.521543,0.109845,0.1463489,-0.1277381,20,mandel-agol_geometric_transit_model,TRUE,25.18087,3467.427,4151.919,11.63536,32.25859,10.77373,598,344.9453,17.5535,,1.23E-02,,2750.22,,13520.5,,1,1,5928,128.704,4.20753,8.14E-02,0,0,1.35513,6.76E-02,0.4340591,8.41E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.476781487,-1,3434.501309,-1,2460434.501,-1,1.45736266,-1,0.608876442,-1,6274.17258,-1,TRUE,6828,3477,2.162571,447.0102,0.457286,0.9477866,2.22331,-1.670394,0.30731,0.15831,256.1307,12.42799,0.58195,0,0,0.1199382,0.2315206,2502.347,1206.1,-3.801224,-0.2047125,5.35E-33,7.401202,-0.03316061,1.046423,38,13.47487,2.299872,7.81E-02,2.515079,4.923916,2.553661,4.924535,2.553652,0.8664564,2.515078,3.082175,2.553659,3.201648,2.550853
00199682620-01,199682620,1,s0078,17-07-2024,0.934797,,3434.39,,2460434.39,,0.335245,,3.5516,,74.7188,,0.936047,,2.01129,,1.00564,,58664.4,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6963121,-0.6057872,1.118739,-0.4730589,11,mandel-agol_geometric_transit_model,TRUE,33.86802,2511.986,3050.486,24.69578,60.7401,85.09837,329,280.2599,35.5962,,1.73E-02,,1609.33,,1585.25,,1,1,4865,123,4.35982,0,0,0,0.97261,0,0.8587781,0,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.934946954,-1,3434.39153,-1,2460434.392,-1,1.786016247,-1,0.703579717,-1,53862.84873,-1,TRUE,7227,2532,1.580007,2813.494,0.00493329,0.5601816,2.54276,-2.428454,0.51942,0.240255,8.325217,16.5055,11.15022,0,0,0.3658586,0.7715129,1935.144,1021.367,-0.8219453,0.3187475,4.44E-59,7.215644,-0.04937938,1.024108,20,21.45815,8.205154,6.78338,2.507035,-18.33178,2.531705,19.54657,2.528747,-0.3835096,2.506661,0.1409218,2.531702,0.4085812,2.509653
00199688409-01,199688409,1,s0078,17-07-2024,7.44027,,3435.22,,2460435.22,,0.224376,,27.7533,,89.7936,,0.1,,2.5,,0.462273,,56019.7,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.4602351,0.544665,-0.7168435,0.2781112,0,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,12.6744,10.66309,665.5814,191,1056.632,46.8679,,9.11E-02,,1564.66,,1416.46,,2,1,7738,172.87,4.13455,8.91E-02,0,0,1.91336,9.31E-02,0.2598682,5.48E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,7.440274239,-1,3435.197828,-1,2460435.198,-1,2.77968804,-1,1.389810771,-1,60047.75402,-1,TRUE,73575,1244,0.7702288,14436.43,-0.062149,0.673846,70.02906,-123.9861,-0.41391,-0.466689,6877.242,75.56429,0,1841.86,0,0,-1,0,-1,0,0,8.44E-89,20.32943,-9.435881,4.261934,3,2.67928,7.125946,-8.57E-02,2.502726,0.3352146,2.510678,0.3459891,2.510191,-0.5576214,2.502724,-0.3053873,2.510673,0.6357695,2.50456
00199688409-02,199688409,2,s0078,17-07-2024,2.62539,,3436.57,,2460436.57,,0.151625,,23.0201,,89.7511,,0.1,,1,,0.132913,,25626.8,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.4602351,0.544665,-0.7168435,0.2781112,5,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,7.899056,8.891842,16.59866,89,31.49144,31.6716,,4.55E-02,,2214.21,,5680.67,,2,1,7738,172.87,4.13455,8.91E-02,0,0,1.91336,9.31E-02,0.2598682,5.48E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,2.625386966,-1,3436.573727,-1,2460436.574,-1,1.190929672,-1,0.594276806,-1,10348.52493,-1,TRUE,10696,1042,-0.2589229,-2129.495,-0.0163979,0.3302634,7.69803,-10.26707,-0.1153,0.112477,2142.245,13.59812,0,0,1841.86,0,-1,0,-1,0,0,7.85E-23,9.032737,-3.141962,1.714061,6,-0.3595649,1.680468,-0.6046982,2.50038,-0.5111294,2.50145,0.7917785,2.500826,-1.064781,2.500375,-1.153197,2.501446,1.569593,2.500953
00199688472-01,199688472,1,s0078,17-07-2024,1.44129,,3434.74,,2460434.74,,0.17116,,3.08411,,71.2754,,0.990059,,2.37678,,1.18839,,12422.8,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5549349,-2.09E-02,0.3322572,-0.2041388,7,mandel-agol_geometric_transit_model,TRUE,89.54962,1856.155,2170.265,70.2217,410.2727,811.9337,306,1307.034,27.2913,,0.0252976,,1939.95,,3347.2,,1,1,5786,129.414,4.12523,7.99E-02,0,0,1.46056,7.96E-02,0.333204,0.06392784,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,1.440792561,-1,3434.739926,-1,2460434.74,-1,2.331966938,-1,0.964821138,-1,12567.15648,-1,TRUE,7712,2361,2.337563,338.442,0.100925,0.5234205,2.26035,-3.0111,0.34859,0.204144,37.19921,68.94321,3.346038,0,0,0.1599818,0.1123931,1896.917,330.3308,-7.473932,-0.1269759,0,8.294097,-0.3440025,1.21346,13,58.92598,6.544169,-0.4616692,2.500583,2.144835,2.502848,2.193959,2.502748,0.7739042,2.500581,1.159985,2.502846,1.394451,2.502148
00199710583-01,199710583,1,s0078,17-07-2024,3.42056,,3437.71,,2460437.71,,9.43E-02,,14.124,,86.854,,0.775138,,1.43209,,0.282048,,8830.09,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5158649,0.1428984,9.22E-02,-0.1053166,2,mandel-agol_geometric_transit_model,TRUE,11.5227,884.6539,1001.714,57.57292,294.5003,1840.623,89,2023.959,12.3479,,4.60E-02,,1353.26,,792.593,,1,1,6009.26,109.498,4.32588,7.97E-02,2.10E-02,3.50E-02,1.19883,0.0560352,0.6443506,0.1220728,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,3.427776098,-1,3437.679223,-1,2460437.679,-1,2.690135966,-1,1.196179059,-1,29057.78969,-1,TRUE,11304,921,2.522427,1041.272,-0.0591116,0.5351463,2.60241,-3.105129,-0.73336,1.58192,65.84161,52.1825,800.1525,0,0,7.959579,3.149354,3514.352,335.6085,2.209843,6.37085,0,8.13448,-1.15096,1.305477,5,14.77484,4.800775,2.162437,2.51086,0.3130351,2.559727,2.184977,2.511873,0.3062124,2.510777,-0.8245904,2.55972,0.879611,2.553839
00199715962-01,199715962,1,s0078,17-07-2024,4.50296,,3436.34,,2460436.34,,0.477885,,10.7171,,84.9399,,0.945259,,3.66779,,1.83389,,111066,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.642335,-8.95E-02,0.343486,-0.1303352,3,mandel-agol_geometric_transit_model,TRUE,23.5834,1329.436,1375.106,33.998,115.4545,689.3608,179,853.803,38.9742,,4.58E-02,,720.529,,63.6982,,1,1,4042,122,4.49071,0,0,0,0.747053,0,1.511326,0,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,4.502775669,-1,3436.343908,-1,2460436.344,-1,3.177410114,-1,1.416110002,-1,156160.2326,-1,TRUE,8720,1393,2.493892,14219.75,-0.116469,0.5091144,2.63861,-2.225673,1.89581,0.752754,38.67199,33.67232,325.2498,0,0,10.79102,272.9632,2019.099,12768.62,3.59E-02,0.1016999,7.54E-209,6.964623,-0.3467868,1.103875,4,13.36718,4.31877,70.16085,2.555998,10.06023,2.535966,70.87844,2.555596,0.5081449,2.505014,3.50016,2.535962,3.536854,2.535327
00199716496-01,199716496,1,s0078,17-07-2024,0.522955,,3434.58,,2460434.58,,0.160548,,4.6689,,88.7727,,0.1,,1,,0.141402,,281108,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0,0,0,0,0,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,9.859702,25.30326,182.6956,529,477.98,28.0459,,1.28E-02,,2838.84,,15349.1,,1,1,5764,143.805,4.04342,8.21E-02,0,0,1.60015,0.0895479,0.2519178,4.97E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,0.52295512,-1,3434.585743,-1,2460434.586,-1,2.280772339,-1,0.967087179,-1,156240.0199,-1,TRUE,137784,3227,0.4889321,1568.424,-0.0151214,0.5073124,66.82737,-78.22183,-0.11808,-0.113912,1345.1,246.7833,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,127.6253,157.4098,-5.32E-02,2.500002,0.11873,2.500006,0.1300853,2.500006,-0.3627292,2.500001,-0.702633,2.500005,0.7907373,2.500004
00207397638-01,207397638,1,s0078,17-07-2024,4.02095,,3435.41,,2460435.41,,9.46E-02,,5.03727,,85.4244,,0.401844,,6.27222,,0.643443,,9847.7,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5118569,0.1848236,-0.1526828,2.99E-02,4,mandel-agol_geometric_transit_model,TRUE,33.3013,2599.407,3490.043,26.25902,62.01213,0.81883,719,698.4691,33.4078,,6.10E-02,,2518.62,,9509.81,,1,1,7838,129.333,3.69016,7.80E-02,0,0,3.23501,9.55E-02,5.52E-02,0.01004935,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,4.020831585,-1,3435.398381,-1,2460435.398,-1,8.601229151,-1,2.316896072,-1,13096.22815,-1,TRUE,158017,5627,0.8562558,589.8378,0.0170633,0.3572242,2.00556,-1.850253,-0.68474,-0.958356,15.51197,28.41426,0.3015791,0,0,1.081937,1.162236,3971.492,1061.768,7.05E-02,1.363787,0,4.891765,0.3261928,0.6478049,5,25.32356,6.679715,-4.266069,2.500094,2.476848,2.500096,4.932962,2.500094,-3.99133,2.500032,2.001347,2.500095,4.464987,2.500045
00207398432-01,207398432,1,s0078,17-07-2024,9.80757,,3440.63,,2460440.63,,0.403746,,11.307,,84.9764,,0.990105,,6.62788,,3.31394,,69812.4,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.587063,-0.2577598,0.7171404,-0.3592784,2,mandel-agol_geometric_transit_model,TRUE,63.51484,2350.697,1411.905,42.5287,164.4621,97.39365,59,184.6227,216.49,,0.259228,,1016.39,,252.214,,1,1,5291.72,34.18,4.438,0,-0.261,3.00E-02,4.91165,0,1,0,TIC8.2,Solar,TIC8.2,TIC8.2,Solar,9.769439697,-1,3440.638798,-1,2460440.639,-1,1.449980901,-1,0.582363443,-1,15014.80907,-1,TRUE,11470,476,33.73207,13468.83,-0.061521,0.9318021,23.0204,-18.40549,0.51387,0.674977,29.49014,29.33424,0.2675474,0,0,10.62406,12.82018,2837.103,856.0854,0.7506964,2.126722,6.03E-10,25.63286,-12.63168,6.902953,2,27.12235,11.81251,0.4797875,2.500032,-0.5697309,2.500086,0.7448418,2.500064,0.1505914,2.500031,-0.4297982,2.500085,0.4554166,2.500079
00207436278-01,207436278,1,s0078,17-07-2024,15.3569,,3436.2,,2460436.2,,0.0522298,,20.3057,,88.8625,,0.403123,,5.61878,,0.330249,,3093.42,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5712936,-8.55E-02,0.4172728,-0.2379788,2,mandel-agol_geometric_transit_model,TRUE,13.48864,2132.662,1664.073,10.49889,14.56915,89.62433,333,673.8854,5.70192,,0.120974,,733.287,,68.3308,,1,1,5780,0,4.438,0,0,0,1,0,1,0,Solar,Solar,Solar,Solar,Solar,15.27638149,-1,3436.250279,-1,2460436.25,-1,6.03950294,-1,3.01932241,-1,4353.314197,-1,TRUE,96504,2652,3.382839,1116.669,-0.0637747,0.7961773,3.52614,-3.269247,-0.95419,-1.20002,25.5315,26.22222,0,0,0,276.5294,82.31104,4623.274,344.0367,3.347417,11.3069,1.28E-27,10.35176,-3.34423,2.73072,2,6.881066,1.22705,-2.28293,2.500407,-1.191407,2.501106,2.575115,2.500557,-4.336562,2.50039,0.9700028,2.501104,4.443723,2.500424
00207493152-01,207493152,1,s0078,17-07-2024,13.604,,3438.84,,2460438.84,,0.145644,,20.7417,,89.7737,,0.0819386,,5.72852,,0.733126,,24473.9,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5303649,0.1641878,2.00E-02,-6.73E-02,2,mandel-agol_geometric_transit_model,TRUE,128.6876,913.7181,1118.01,108.2381,520.5848,6017.722,213,7377.75,24.6456,,0.116911,,980.094,,218.068,,1,1,6100.02,105.069,4.11808,7.41E-02,0.13,3.30E-02,1.55005,6.21E-02,0.3088405,5.42E-02,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,13.44860458,-1,3438.84403,-1,2460438.844,-1,5.686454653,-1,0.805742756,-1,13915.93187,-1,TRUE,39619,1628,0.7366409,201.0614,-0.104184,0.5236937,2.4785,-1.843167,-0.64724,-0.472245,126.2242,79.17445,1.72E-22,0,0,2.489066,2.597852,1903.345,494.5962,0.573191,1.862472,0,6.025104,3.204715,0.5610426,2,125.7113,10.61516,0.1553696,2.500303,0.2237327,2.501058,0.2723895,2.500813,1.31E-02,2.500302,-2.54E-02,2.501057,2.86E-02,2.500898
00207496306-01,207496306,1,s0078,17-07-2024,0.329316,,3434.36,,2460434.36,,0.0431128,,2.6841,,87.8649,,0.1,,1,,4.38E-02,,368528,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0,0,0,0,0,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,33.74466,198.8736,119.7407,1091,1003.378,5.57715,,9.44E-03,,2851.43,,15623.3,,2,1,5767.61,106.138,4.30476,6.94E-02,-6.40E-02,2.20E-02,1.18496,5.16E-02,0.6209492,0.1029068,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,0.32931599,-1,3434.360146,-1,2460434.36,-1,1.830847234,-1,0.69810442,-1,233574.4163,-1,TRUE,25712,4457,52.41108,142930.5,4.8705,8.321938,44.65805,-16.86444,0.16525,0.129144,19.76332,22.88745,0,2.36868E-07,0,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,5.194665,6.844146,-0.1535651,2.500002,-0.4372053,2.500005,0.4633904,2.500004,-4.21E-02,2.500001,-0.1484783,2.500003,0.1543253,2.500003
00207496306-02,207496306,2,s0078,17-07-2024,0.329293,,3434.54,,2460434.54,,3.44E-02,,5.21501,,88.9013,,0.1,,0.5,,0.0169798,,405772,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0,0,0,0,0,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,11.41337,47.94036,11.04969,539,335.352,4.44657,,9.44E-03,,2851.5,,15624.8,,2,1,5767.61,106.138,4.30476,6.94E-02,-6.40E-02,2.20E-02,1.18496,5.16E-02,0.6209492,0.1029068,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,0.329293318,-1,3434.531484,-1,2460434.531,-1,1.161812486,-1,0.521876538,-1,51756.28631,-1,TRUE,10677,4177,1.390399,2649.736,-0.313916,0.7961375,18.03957,-10.671,-0.06148,-0.0666896,20.03768,10.67846,0,0,2.36868E-07,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,5.485101,2.316192,-0.1458798,2.500002,-0.387688,2.500005,0.4142257,2.500005,-2.24E-02,2.500001,-0.1215165,2.500004,0.1235597,2.500004
00207504663-01,207504663,1,s0078,17-07-2024,0.294125,,3434.49,,2460434.49,,0.258455,,1.73446,,59.8294,,0.871698,,1.46087,,0.730436,,47007.1,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6803492,-0.5417541,1.044124,-0.4578537,36,mandel-agol_geometric_transit_model,TRUE,71.38782,5742.555,6946.534,74.4236,554.1833,956.7612,1071,3903.203,27.5189,,8.14E-03,,2426.19,,8188.86,,1,1,5022.75,107.993,4.37886,7.83E-02,-2.20E-02,0.103,0.97531,5.27E-02,0.8947817,0.1684119,TIC8.2,TIC8.2,TIC8.2,TIC8.2,TIC8.2-Der,0.294142753,-1,3434.491043,-1,2460434.491,-1,1.341048124,-1,0.540627879,-1,45548.86725,-1,TRUE,29834,3805,2.89307,2487.915,-0.242023,0.8750342,3.47489,-2.025075,0.19968,0.102453,417.7501,109.7304,348.2552,0,0,0.1197199,3.12E-02,2206.519,134.5997,-28.22029,-1.34614,0,6.961496,-1.756971,1.222619,61,49.2612,24.9565,-0.666535,2.500065,-2.479817,2.500304,2.567832,2.500288,-0.1246786,2.500063,0.5159512,2.500303,0.5308017,2.50029
00219095755-01,219095755,1,s0078,17-07-2024,8.91694,,3436.04,,2460436.04,,5.63E-02,,10.4734,,85.1033,,0.894009,,3.67417,,0.850397,,2814.44,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5051628,0.1741552,5.72E-02,-9.15E-02,2,mandel-agol_geometric_transit_model,TRUE,14.32242,853.3018,999.2313,10.89737,11.87957,6.46896,209,158.1346,9.20583,,8.69E-02,,1094.83,,339.557,,1,1,5976,130.976,4.12824,7.69E-02,0,0,1.49834,7.20E-02,0.3270616,6.00E-02,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,8.90832901,-1,3436.037576,-1,2460436.038,-1,4.807072562,-1,2.132564424,-1,3992.909153,-1,TRUE,12775,1511,2.220247,445.9691,-0.00984015,0.5951583,2.84049,-2.59368,3.82497,3.64164,10.45396,12.03286,0.000105548,0,0,21.8722,11.15779,3660.679,460.2879,1.870639,5.552248,1.29E-91,4.820083,2.380541,0.4762857,2,-1.882714,18.30492,25.97273,2.509983,20.58691,2.51636,33.14217,2.512445,29.06898,2.501069,21.88398,2.516358,36.38563,2.50661
00219096494-01,219096494,1,s0078,17-07-2024,4.03389,,3434.45,,2460434.45,,9.95E-02,,2.64569,,68.0358,,0.989558,,6.05822,,3.02911,,4232.5,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5473514,8.32E-03,0.2860959,-0.1862219,5,mandel-agol_geometric_transit_model,TRUE,38.77324,3077.066,3565.866,33.93867,102.7177,132.7119,674,716.4553,8.50723,,5.08E-02,,1022.52,,258.346,,1,1,5901,127.136,4.6806,7.87E-02,0,0,0.783121,0.0375377,2.232395,0.4185565,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,4.031942368,-1,3434.448526,-1,2460434.449,-1,6.360238992,-1,2.663072492,-1,4610.217647,-1,TRUE,13152,4895,0.3891146,55.62439,-0.0749118,0.4717782,1.90162,-2.048199,0.56109,1.09164,11.73175,20.11095,2.887366,0,0,1.090465,3.144394,1615.524,1164.032,2.88E-02,0.5091606,1.69E-94,7.090837,0.6671069,0.9443394,5,-30.04378,67.63187,39.56112,2.51694,42.15648,2.500072,57.8122,2.507984,40.37918,2.500006,42.91628,2.50007,58.9261,2.50004
00219107776-01,219107776,1,s0078,17-07-2024,0.209916,,3434.37,,2460434.37,,0.22981,,3.99695,,88.5664,,0.1,,0.5,,9.58E-02,,63051.6,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6770756,-0.5092332,0.994598,-0.444718,85,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,96.52656,1325.126,3781.342,1244,5533.117,25.0883,,6.92E-03,,2732.05,,13166.7,,2,1,5149,426,4.438,0,0,0,1,0,1,0,TIC8.2,Solar,Solar,Solar,Solar,0.209915623,-1,3434.37334,-1,2460434.373,-1,0.803302835,-1,0.273271869,-1,524480.9552,-1,TRUE,252127100,6203,15.15655,53549.95,-0.628478,2.977855,11.0413,-7.209661,0.10573,0.0853938,19.23903,101.3904,0,0,1.09E-05,0,-1,0,-1,0,0,0,4.464883,-4.106818,1.20522,86,30.7846,27.9336,0.5222518,2.500018,0.5455872,2.500031,0.7552565,2.500025,0.5088257,2.500002,0.6368928,2.500023,0.8151908,2.500015
00219107776-02,219107776,2,s0078,17-07-2024,0.210023,,3434.27,,2460434.27,,0.156332,,3.08261,,85.3287,,0.251044,,0.603596,,8.90E-02,,28922.2,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6770756,-0.5092332,0.994598,-0.444718,85,mandel-agol_geometric_transit_model,TRUE,13.00362,5284.337,7094.611,15.67088,104.0351,93.04578,1229,779.7609,17.0668,,6.92E-03,,2731.58,,13157.7,,2,1,5149,426,4.438,0,0,0,1,0,1,0,TIC8.2,Solar,Solar,Solar,Solar,0.209963512,-1,3434.266284,-1,2460434.266,-1,0.936518928,-1,0.417582193,-1,57907.89071,-1,TRUE,12830,6320,6.55E-02,56878.38,-3.43067,0.3369511,0,-4.251192,0.10414,0.0614354,4.760308,10.68266,1.177788,1.09E-05,0,5.141857,0.9807528,6359.679,607.3103,4.223141,5.598937,6.47E-35,4.464883,-4.106818,1.20522,86,-1.346031,-0.2830646,-0.4260195,2.500041,-0.4938288,2.500419,0.6521959,2.500257,-0.4453846,2.500031,-0.3881413,2.50041,0.5907801,2.500195
00219108677-01,219108677,1,s0078,17-07-2024,5.98114,,3436.62,,2460436.62,,0.188205,,19.9612,,88.7069,,0.450469,,2.51875,,0.486078,,41055.4,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.6880166,-0.5288516,0.9882092,-0.3842076,3,mandel-agol_geometric_transit_model,TRUE,32.86366,881.5292,1070.214,31.74565,98.4676,1.48749,179,160.0173,13.707,,5.70E-02,,664.589,,46.1035,,1,1,4403,122,4.6285,0,0,0,0.667127,0,2.324295,0,TIC8.2,TIC8.2,Solar,TIC8.2,TIC8.2-Der,5.9819417,-1,3436.615046,-1,2460436.615,-1,2.395776829,-1,0.514381177,-1,38636.54592,-1,TRUE,12453,1437,2.426032,3720.787,-0.0442097,0.5967419,2.6285,-2.90002,2.79442,1.0847,16.77174,27.80051,1.060926,0,0,35.41548,14.57689,2506.64,267.1188,2.360962,6.879669,2.86E-216,6.435738,0.9988058,0.8544571,3,18.02803,6.267334,-1.258087,2.503727,-1.058665,2.539976,1.644249,2.518818,0.3414892,2.503543,0.5075912,2.539961,0.611771,2.52867
00219109908-01,219109908,1,s0078,17-07-2024,0.212089,,3434.4,,2460434.4,,0.173211,,2.10415,,63.1598,,0.950033,,0.608248,,0.304124,,16915.9,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5319652,6.88E-02,0.2005845,-0.1503264,83,mandel-agol_geometric_transit_model,TRUE,38.15485,7863.102,8222.831,28.74889,159.4288,77.56744,1240,1747.348,18.9094,,6.96E-03,,3139.37,,22955.7,,2,1,5937,198.61,4.438,0,0,0,1,0,1,0,TIC8.2,Solar,Solar,Solar,Solar,0.211997837,-1,3434.399593,-1,2460434.4,-1,0.84041654,-1,0.378188573,-1,34375.72627,-1,TRUE,31440,6318,-0.5361973,-723.0916,-0.0229949,1.370825,7.41716,-10.68251,5.73E-02,0.0666438,8.546355,17.44889,1.050313,7.66E-06,0,0,-1,0,-1,0,0,3.31E-82,5.806991,-1.081538,0.9666478,85,43.32288,32.37897,0.6203793,2.500005,0.3154228,2.500006,0.6959612,2.500005,0.7754735,2.5,0.4057884,2.500005,0.8752277,2.500001
00219109908-02,219109908,2,s0078,17-07-2024,0.211998,,3434.45,,2460434.45,,3.70E-02,,3.39851,,88.3138,,0.1,,0.5,,0.0185506,,0,,0,,0,,claret_tess_nonlinear_limb_darkening_model,0.5319652,6.88E-02,0.2005845,-0.1503264,0,mandel-agol_geometric_transit_model,FALSE,-1,-1,-1,9.541691,52.95266,16.97573,346,171.5423,4.04104,,0.00696161,,3139.82,,22968.8,,2,1,5937,198.61,4.438,0,0,0,1,0,1,0,TIC8.2,Solar,Solar,Solar,Solar,0.211997839,-1,3434.434368,-1,2460434.434,-1,1.663227364,-1,0.585792308,-1,209430.9318,-1,TRUE,34738,3129,1.838446,2790.02,-0.716625,3.264277,8.58512,-11.6114,0.11614,0.1026,8.944347,15.49871,0,0,7.66E-06,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,23.23868,33.40425,0.5685152,2.500004,0.2533107,2.500003,0.6223953,2.500004,0.7666898,2.5,0.3569568,2.500002,0.8457136,2.5
